tweet_id,username,user_id,text,created_at,retweet_count,favorite_count,sentimiento
1884596700494373303,Kely LDU,484983040, una sola vuelta todo todito 7  daniel noboa presidente ,Wed Jan 29 13:37:22 +0000 2025,0,0,negativo
1884596162100871179,NotiMundo,2457143496,  tras la visita de edmundo gonzález a ecuador y su reunión con el presidente de la república daniel noboa la líder opositora venezolana maría corina machado se pronunció en su cuenta de x   estimado presidente noboa desde venezuela le agradecemos por este ,Wed Jan 29 13:35:13 +0000 2025,1,2,positivo
1884595351010812255,El Nuevo País y Zeta,168237054,venezolanos en ecuador aclamaron a edmundo gonzález  luego de reunirse con el presidente daniel noboa en el palacio presidencial gonzález urrutia subió al balcón desde donde saludó a los venezolanos  ,Wed Jan 29 13:32:00 +0000 2025,0,2,negativo
1884595019513815205,HCH Televisión Digital,505076949,  el presidente de ecuador daniel noboa recibió el pasado martes en el palacio de carondelet al líder opositor venezolano edmundo gonzález urrutia en su visita oficial a quito en la que abordaron temas migratorios de seguridad y de defensa a la ,Wed Jan 29 13:30:41 +0000 2025,0,0,neutral
1884594727959298146,CarlosSanchezBerzain,3073682337, ofrecerá su petróleo a socios de  para frenar el financiamiento a la dictadura de nicolas maduro el presidente daniel noboa dijo que está dispuesto a vender hasta 250000 barriles diarios de crudo en caso de que se impongan sanciones ,Wed Jan 29 13:29:31 +0000 2025,3,5,negativo
1884591008031113513,SAC - Noticias Políticas,1074823771490607106,  según la encuesta ipsos el presidente de ecuador daniel noboa contaría con los votos necesarios para reelegirse en la primera vuelta a la presidencia de la república este próximo 9 de febrero de 2025    daniel noboa  500  luisa gonzález  346  ,Wed Jan 29 13:14:44 +0000 2025,1,0,negativo
1884590525929419202,MercedesParra,1728386076564246528,   vamos ecuador una sola vuelta daniel noboa presidente,Wed Jan 29 13:12:50 +0000 2025,0,0,negativo
1884590337470951548,MercedesParra,1728386076564246528,  sueña delincuente es lo único que te queda jajajja daniel noboa presidente,Wed Jan 29 13:12:05 +0000 2025,0,0,negativo
1884590081677070758,Café Bloguero,917119942713110528,buenos días según algunas encuestas el presidente daniel noboa está con 58 de intención del voto a no descuidarnos      ,Wed Jan 29 13:11:04 +0000 2025,0,0,negativo
1884589017078890765,Canal Revolución,1148341780099809281,  la prefecta del guayas marcela  y el alcalde de   fueron los primeros en contestar a la invitación que hizo el presidente daniel  así respondieron ambos  ,Wed Jan 29 13:06:50 +0000 2025,0,0,negativo
1884587789548675269,CNN en Español,33884545,el presidente de ecuador daniel noboa recibió al líder opositor venezolano edmundo gonzález urrutia en su visita oficial a quito ,Wed Jan 29 13:01:57 +0000 2025,7,64,negativo
1884585077436293346,Marco Navas,106498301,llegan más de 200 migrantes ecuatorianos expulsados de estados unidos de norteamérica  daniel noboa estuvo en la posesión de donald trump  él y javier milei presidente de argentina fueron los únicos presidentes latinoamericanos que asistieron,Wed Jan 29 12:51:11 +0000 2025,19,36,negativo
1884583864498114754,María Piedad,1525138141950234626, viva dainita salazar y el señor presidente daniel noboa vamos hasta el final los ecuatorianos estamos muy agradecidoslos que amamos a la patria que dios bendiga al ecuador,Wed Jan 29 12:46:21 +0000 2025,0,0,positivo
1884583233167262153,El Dato Ec 🇪🇨,1287473710174212096, el presidente de ecuador daniel noboa afirmó recientemente en el nuevo ecuador la transformación digital con el uso de inteligencia artificial es una realidad esta declaración subraya el compromiso del gobierno ecuatoriano con la modernización tecnológica y la ,Wed Jan 29 12:43:51 +0000 2025,14,51,positivo
1884579748967326056,La Derecha Diario,1169664359628509184,  el presidente de ecuador daniel noboa anunció que declarará al tren de aragua como grupo terrorista y ofreció vender 250000 barriles diarios a los países que compran petróleo venezolano para que cese el financiamiento de un régimen dictatorial ,Wed Jan 29 12:30:00 +0000 2025,79,451,negativo
1884579106722865635,Adriana V Velez Linares,4833337235, ellos se lo perdieronpero daniel noboa es el presidente de ecuador vota todo adn7,Wed Jan 29 12:27:27 +0000 2025,0,0,negativo
1884578474918109193,CNN Brasil,809124436880322561,o presidente do equador daniel noboa se encontrou com o líder da oposição venezuelana edmundo gonzález na terçafeira 28 na capital quito ambos estão discutindo sobre uma possível interrupção da venda de petróleo venezuelano  ,Wed Jan 29 12:24:56 +0000 2025,3,25,neutral
1884577003161985369,LuisCompa™,107686850,mientras tanto en ecuador  y el presidente daniel noboa azín conspira con la ultraderecha venezolana para tumbar al régimen de nicolás maduro  ,Wed Jan 29 12:19:05 +0000 2025,0,0,neutral
1884576626186342699,ladataecu,1866283581036732416, comunidad venezolana agradece a noboa  en un emotivo encuentro la comunidad venezolana en ecuador expresó su agradecimiento al presidente daniel noboa por su excelente gestión y por recibir con honor al presidente de venezuela a su vez denunciaron la dictadura ,Wed Jan 29 12:17:36 +0000 2025,0,1,positivo
1884576552651788388,El Portal Ec,1325129766475722752, los ecuatorianos quieren a daniel noboa como presidente ,Wed Jan 29 12:17:18 +0000 2025,12,32,negativo
1884575165775778018,Renata,1825968672390733824,daniel noboa aquel cuyo gobierno ha estado más tiempo en estado de excepción que en democracía recibe al presidente designado por washinton en narnia el inmundo gonzalez no puede ser más patética la imagen    ,Wed Jan 29 12:11:47 +0000 2025,0,1,negativo
1884569968081023236,Víctor s,1654250209185091584,   una sola vuelta con daniel noboa presidente del ecuador ya no más correistas ni prófugos,Wed Jan 29 11:51:08 +0000 2025,0,0,negativo
1884566310790541806,Washington Andrade Escobar,2185632500,aunque el presidente del cnj y su grupo aún andan sueltos y bastante traviesos con la anuencia de la fgeesperemos que el tribunal tenga la valentía de resolver en derecho y no sucumbir a las presiones de mr daniel noboa  esto no es por ningún político esto es por la,Wed Jan 29 11:36:36 +0000 2025,21,25,negativo
1884565906916794441,El Telégrafo Ecuador,51254405,  estos son los tres acuerdos alcanzados entre el presidente daniel noboa y su homologo electo edmundo gonzález   ,Wed Jan 29 11:35:00 +0000 2025,6,23,positivo
1884563138470957226,EcuadorTV,133184048,  estos son los tres acuerdos alcanzados entre el presidente daniel noboa y su homologo electo edmundo gonzález   ,Wed Jan 29 11:24:00 +0000 2025,2,9,positivo
